loanamount,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,bank_name_clients,employment_status_clients,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,record_time,behind
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Permanent,3.0,10000.0,11500.0,15,32,No,17
,30,Yes,Good,Adults,Other,First Bank,Self-Employed,14.0,10000.0,10500.0,15,0,Yes,0
Medium,30,Yes,Good,Young_adults,Other,Diamond Bank,Self-Employed,5.0,10000.0,13000.0,30,16,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,23,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,13000.0,30,24,Yes,0
Small,30,Yes,Bad,Adults,Savings,Access Bank,Undisclosed,1.0,10000.0,11500.0,15,13,Yes,0
Large,60,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,5,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Zenith Bank,Permanent,2.0,10000.0,13000.0,30,28,Yes,0
Large,30,Yes,Bad,Young_adults,Other,Diamond Bank,Self-Employed,9.0,30000.0,34400.0,30,36,No,6
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Unemployed,2.0,10000.0,11500.0,15,39,No,24
Large,30,Yes,Bad,Adults,Savings,Access Bank,Permanent,6.0,20000.0,21900.0,15,14,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Self-Employed,3.0,10000.0,12250.0,30,21,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Keystone Bank,Permanent,1.0,10000.0,11500.0,15,19,No,4
Large,60,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,6.0,20000.0,24500.0,30,27,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,3.0,10000.0,13000.0,30,29,Yes,0
Large,60,Yes,Bad,Adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,29,No,14
Large,60,Yes,Good,Young_adults,Savings,First Bank,Permanent,5.0,20000.0,24500.0,30,31,No,1
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,11500.0,15,10,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,9.0,40000.0,44800.0,30,24,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,3.0,10000.0,13000.0,30,31,No,1
Medium,30,Yes,Bad,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,3,Yes,0
Medium,30,Yes,Bad,Adults,Savings,First Bank,Undisclosed,1.0,10000.0,11500.0,15,11,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Diamond Bank,Self-Employed,9.0,30000.0,34400.0,30,30,Yes,0
Small,15,Yes,Good,Young_adults,Other,First Bank,Permanent,1.0,10000.0,11500.0,15,6,Yes,0
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Undisclosed,2.0,10000.0,13000.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Current,Stanbic IBTC,Permanent,1.0,10000.0,11500.0,15,9,Yes,0
Large,30,Yes,Good,Young_adults,Other,Zenith Bank,Student,3.0,20000.0,24500.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,19,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,9.0,40000.0,44800.0,30,31,No,1
Large,30,Yes,Good,Adults,Savings,First Bank,Undisclosed,9.0,30000.0,34400.0,30,23,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,11500.0,15,11,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Diamond Bank,Undisclosed,1.0,10000.0,11500.0,15,4,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,FCMB,Undisclosed,3.0,10000.0,11500.0,15,7,Yes,0
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Undisclosed,6.0,10000.0,12250.0,30,31,No,1
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,11500.0,15,12,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,4.0,20000.0,21900.0,15,12,Yes,0
Small,15,Yes,Good,Young_adults,Savings,UBA,Permanent,2.0,10000.0,11500.0,15,33,No,18
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,8,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,4.0,20000.0,21900.0,15,11,Yes,0
Medium,15,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,1.0,10000.0,13000.0,30,31,No,1
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,33,No,3
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,13,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,15,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,Access Bank,Permanent,4.0,15000.0,16687.5,15,11,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,EcoBank,Undisclosed,1.0,10000.0,13000.0,30,37,No,7
Large,30,Yes,Bad,Young_adults,Other,GT Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,5.0,20000.0,23800.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,4.0,20000.0,24500.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,3.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,9.0,30000.0,39000.0,60,23,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,43,No,13
Small,30,Yes,Good,Adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,1.0,10000.0,13000.0,30,31,No,1
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,4.0,20000.0,23800.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,1.0,10000.0,13000.0,30,33,No,3
Large,30,Yes,Bad,Young_adults,Savings,Access Bank,Permanent,3.0,20000.0,21900.0,15,13,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Unity Bank,Permanent,1.0,10000.0,13000.0,30,25,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,5.0,10000.0,13000.0,30,32,No,2
Large,30,Yes,Good,Young_adults,Savings,UBA,Undisclosed,3.0,10000.0,11500.0,15,16,No,1
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,2.0,10000.0,13000.0,30,29,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,6,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,2.0,10000.0,13000.0,30,32,No,2
Large,30,Yes,Good,Young_adults,Savings,EcoBank,Unemployed,5.0,20000.0,23800.0,30,32,No,2
Large,60,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,9.0,20000.0,24500.0,30,7,Yes,0
Small,15,Yes,Good,Young_adults,Current,First Bank,Permanent,1.0,10000.0,11500.0,15,5,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,5.0,20000.0,23800.0,30,32,No,2
Large,60,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,11500.0,15,14,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,3,Yes,0
Small,30,Yes,Bad,Adults,Other,FCMB,Self-Employed,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Good,Adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,31,No,1
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Other,Access Bank,Student,5.0,10000.0,13000.0,30,39,No,9
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Small,15,Yes,Good,Adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,18,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,23,Yes,0
Medium,15,Yes,Bad,Adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,7,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,31,No,1
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,11500.0,15,13,Yes,0
Medium,30,Yes,Bad,Young_adults,Savings,GT Bank,Self-Employed,7.0,20000.0,24500.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,1.0,10000.0,11500.0,15,16,No,1
Large,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,6.0,30000.0,34400.0,30,26,Yes,0
Small,30,Yes,Bad,Adults,Savings,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,16,Yes,0
,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,10.0,40000.0,47600.0,60,30,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Heritage Bank,Permanent,3.0,10000.0,13000.0,30,11,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,11,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Standard Chartered,Permanent,2.0,10000.0,13000.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,2.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,21,Yes,0
Small,30,Yes,Good,Adults,Savings,UBA,Undisclosed,1.0,10000.0,13000.0,30,24,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,13000.0,30,31,No,1
Small,15,Yes,Good,Young_adults,Other,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,32,No,2
Small,30,Yes,Good,Young_adults,Savings,Diamond Bank,Undisclosed,1.0,10000.0,13000.0,30,22,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Standard Chartered,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Small,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,2.0,10000.0,13000.0,30,39,No,9
Small,15,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Small,15,Yes,Good,Adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,16,No,1
Medium,30,Yes,Bad,Young_adults,Savings,First Bank,Undisclosed,4.0,15000.0,16687.5,15,12,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,5.0,20000.0,23800.0,30,30,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Student,3.0,20000.0,23800.0,30,17,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,11500.0,15,13,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,5.0,15000.0,16675.0,15,10,Yes,0
Small,30,Yes,Bad,Adults,Savings,GT Bank,Undisclosed,3.0,10000.0,13000.0,30,43,No,13
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,35,No,5
Large,60,Yes,Good,Adults,Other,UBA,Self-Employed,1.0,10000.0,13000.0,30,24,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,17,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,4.0,10000.0,11500.0,15,11,Yes,0
Small,15,Yes,Good,Adults,Savings,UBA,Permanent,2.0,10000.0,13000.0,30,28,Yes,0
Small,15,Yes,Good,Young_adults,Savings,UBA,Unemployed,1.0,10000.0,11500.0,15,8,Yes,0
Medium,30,Yes,Good,Young_adults,Other,Stanbic IBTC,Permanent,1.0,10000.0,11500.0,15,12,Yes,0
Small,30,Yes,Good,Young_adults,Other,Diamond Bank,Undisclosed,2.0,10000.0,13000.0,30,29,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Fidelity Bank,Undisclosed,1.0,10000.0,13000.0,30,49,No,19
Small,30,Yes,Bad,Young_adults,Other,GT Bank,Permanent,1.0,10000.0,13000.0,30,46,No,16
Medium,15,Yes,Bad,Adults,Other,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,18,No,3
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,5.0,10000.0,13000.0,30,32,No,2
Large,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,5.0,20000.0,21800.0,15,6,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,42,No,12
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Student,1.0,10000.0,11500.0,15,13,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,31,No,1
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,10.0,30000.0,36800.0,60,56,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Student,1.0,10000.0,11500.0,15,8,Yes,0
Small,30,Yes,Good,Young_adults,Current,Access Bank,Permanent,1.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,12,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,UBA,Self-Employed,3.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,12.0,40000.0,47600.0,60,33,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,6.0,10000.0,12250.0,30,33,No,3
Medium,30,Yes,Good,Young_adults,Other,Access Bank,Permanent,2.0,10000.0,13000.0,30,37,No,7
Small,30,Yes,Bad,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,25,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,1.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,9,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,FCMB,Permanent,3.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,3.0,10000.0,11500.0,15,24,No,9
Small,15,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,11500.0,15,3,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,17,No,2
Small,30,Yes,Good,Young_adults,Other,UBA,Self-Employed,1.0,10000.0,13000.0,30,5,Yes,0
Large,60,Yes,Good,Young_adults,Other,GT Bank,Permanent,8.0,30000.0,39000.0,60,32,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,24500.0,30,25,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,12500.0,30,22,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,13000.0,30,33,No,3
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,5.0,20000.0,23800.0,30,32,No,2
Small,30,Yes,Bad,Adults,Savings,GT Bank,Undisclosed,1.0,10000.0,13000.0,30,30,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,5.0,10000.0,11000.0,15,13,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,7.0,30000.0,34400.0,30,19,Yes,0
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Student,9.0,25000.0,28750.0,30,34,No,4
Small,30,Yes,Good,Young_adults,Other,GT Bank,Unemployed,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Unemployed,1.0,10000.0,11500.0,15,15,Yes,0
Medium,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,4.0,15000.0,16687.5,15,17,No,2
Medium,30,Yes,Good,Young_adults,Other,Diamond Bank,Self-Employed,3.0,20000.0,24500.0,30,25,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,2.0,10000.0,13000.0,30,28,Yes,0
Small,15,Yes,Bad,Adults,Savings,Zenith Bank,Undisclosed,1.0,10000.0,11500.0,15,23,No,8
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,6.0,20000.0,24500.0,30,9,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,16,Yes,0
Small,15,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,21,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,UBA,Permanent,4.0,20000.0,23800.0,30,29,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,10,Yes,0
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,7.0,10000.0,13000.0,30,34,No,4
Small,30,Yes,Good,Young_adults,Savings,Standard Chartered,Permanent,2.0,10000.0,13000.0,30,29,Yes,0
,60,Yes,Good,Young_adults,Other,Zenith Bank,Self-Employed,14.0,50000.0,52500.0,30,1,Yes,0
Medium,30,Yes,Good,Adults,Savings,First Bank,Permanent,3.0,10000.0,13000.0,30,19,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,18,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,FCMB,Undisclosed,1.0,10000.0,11500.0,15,23,No,8
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Large,60,Yes,Good,Young_adults,Savings,Skye Bank,Self-Employed,5.0,30000.0,34500.0,30,25,Yes,0
Large,30,Yes,Good,Adults,Savings,Diamond Bank,Self-Employed,9.0,30000.0,34500.0,30,28,Yes,0
Large,60,Yes,Good,Adults,Other,Diamond Bank,Self-Employed,5.0,20000.0,23800.0,30,28,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,2.0,10000.0,13000.0,30,32,No,2
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,13000.0,30,11,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,10,Yes,0
Small,15,Yes,Good,Young_adults,Savings,FCMB,Permanent,1.0,10000.0,13000.0,30,21,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,3.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Access Bank,Undisclosed,2.0,10000.0,11500.0,15,10,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Self-Employed,10.0,30000.0,34400.0,30,29,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,6.0,20000.0,24500.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,FCMB,Permanent,1.0,10000.0,11500.0,15,6,Yes,0
Large,30,Yes,Good,Adults,Savings,First Bank,Undisclosed,6.0,20000.0,24500.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Access Bank,Undisclosed,5.0,20000.0,23800.0,30,29,Yes,0
Large,60,Yes,Good,Young_adults,Other,Diamond Bank,Student,1.0,10000.0,11500.0,15,17,No,2
Medium,15,Yes,Good,Adults,Savings,FCMB,Permanent,1.0,10000.0,13000.0,30,33,No,3
Small,30,Yes,Good,Adults,Savings,Stanbic IBTC,Permanent,1.0,10000.0,11500.0,15,12,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,16,No,1
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,24500.0,30,30,Yes,0
Small,15,Yes,Good,Adults,Savings,Access Bank,Undisclosed,1.0,10000.0,11500.0,15,12,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,EcoBank,Self-Employed,6.0,15000.0,18200.0,30,28,Yes,0
Small,15,Yes,Good,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,11500.0,15,12,Yes,0
Large,60,Yes,Bad,Young_adults,Savings,First Bank,Permanent,4.0,15000.0,18200.0,30,29,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,11500.0,15,18,No,3
Small,30,Yes,Bad,Young_adults,Savings,FCMB,Undisclosed,1.0,10000.0,13000.0,30,32,No,2
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,11500.0,15,1,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,Fidelity Bank,Undisclosed,1.0,10000.0,11500.0,15,18,No,3
Large,30,Yes,Bad,Young_adults,Other,GT Bank,Self-Employed,3.0,20000.0,23800.0,30,27,Yes,0
Medium,30,Yes,Good,Young_adults,Other,Zenith Bank,Permanent,2.0,10000.0,13000.0,30,28,Yes,0
Medium,30,Yes,Good,Young_adults,Other,Stanbic IBTC,Permanent,4.0,10000.0,11450.0,15,16,No,1
Small,15,Yes,Good,Young_adults,Other,Union Bank,Permanent,1.0,10000.0,11500.0,15,19,No,4
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,8.0,40000.0,48000.0,60,30,Yes,0
Medium,30,Yes,Good,Adults,Savings,UBA,Undisclosed,1.0,10000.0,13000.0,30,29,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,7,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,Stanbic IBTC,Undisclosed,1.0,10000.0,11500.0,15,9,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,13000.0,30,28,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,3.0,10000.0,11500.0,15,12,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Diamond Bank,Undisclosed,1.0,10000.0,11500.0,15,17,No,2
Medium,15,Yes,Good,Young_adults,Other,UBA,Self-Employed,7.0,10000.0,12900.0,30,27,Yes,0
Large,30,Yes,Bad,Adults,Other,GT Bank,Permanent,7.0,20000.0,21900.0,15,8,Yes,0
Medium,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,31,No,1
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Undisclosed,1.0,10000.0,11500.0,15,40,No,25
Small,30,Yes,Bad,Young_adults,Current,Access Bank,Undisclosed,1.0,10000.0,13000.0,30,45,No,15
Small,30,Yes,Bad,Young_adults,Savings,Access Bank,Self-Employed,3.0,10000.0,13000.0,30,39,No,9
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,7.0,20000.0,21900.0,15,13,Yes,0
Small,30,Yes,Good,Young_adults,Other,GT Bank,Student,3.0,10000.0,13000.0,30,30,Yes,0
Medium,15,Yes,Good,Young_adults,Other,Zenith Bank,Permanent,8.0,20000.0,21800.0,15,6,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Self-Employed,3.0,20000.0,22250.0,15,10,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Undisclosed,1.0,10000.0,13000.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,2.0,10000.0,11500.0,15,12,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,2.0,10000.0,11500.0,15,12,Yes,0
Small,30,Yes,Good,Adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Large,60,Yes,Good,Young_adults,Other,Access Bank,Permanent,6.0,20000.0,23800.0,30,28,Yes,0
Large,30,Yes,Good,Adults,Other,Zenith Bank,Unemployed,5.0,20000.0,23800.0,30,45,No,15
Small,30,Yes,Good,Young_adults,Savings,UBA,Undisclosed,1.0,10000.0,11500.0,15,9,Yes,0
Large,30,Yes,Good,Young_adults,Other,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,18,Yes,0
Large,60,Yes,Good,Young_adults,Other,UBA,Permanent,2.0,10000.0,13000.0,30,26,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,11500.0,15,17,No,2
Medium,15,Yes,Good,Young_adults,Savings,First Bank,Undisclosed,2.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Bad,Young_adults,Current,Fidelity Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,13000.0,30,34,No,4
